Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio
QBTS,D-Wave Quantum Inc.,1939563813,6.06,-3.06%,Computer Hardware,57595951,
TARS,"Tarsus Pharmaceuticals, Inc.",1880381211,49.16,2.19%,Biotechnology,154078,
HTH,Hilltop Holdings Inc.,1864075953,28.81,0.59%,Banks - Regional,32874,17.52
KMT,Kennametal Inc.,1880189521,24.02,-0.70%,Tools & Accessories,134427,18.90
DRH,DiamondRock Hospitality Company,1840303080,8.92,0.45%,REIT - Hotel & Motel,414050,31.64
LGF.A,Lions Gate Entertainment Corp.,1686488832,7.75,2.65%,Entertainment,165021,
GDRX,"GoodRx Holdings, Inc.",1795178288,4.84,2.65%,Health Information Services,256472,
PGNY,"Progyny, Inc.",1800992295,21.83,3.22%,Health Information Services,381809,35.85
ASTH,"Astrana Health, Inc.",1867542400,37.78,-0.64%,Medical Care Facilities,126075,29.25
PLUG,Plug Power Inc.,1849729910,2.04,0.25%,Electrical Equipment & Parts,29429366,
REVG,"REV Group, Inc.",1829673495,35.53,1.07%,Farm & Heavy Construction Machinery,69568,7.45
NEO,"NeoGenomics, Inc.",1861234486,14.36,-0.97%,Diagnostics & Research,139169,
PRDO,Perdoceo Education Corporation,1828230220,27.98,0.58%,Education & Training Services,46729,13.98
VYX,NCR Voyix Corporation,1820220960,12.50,-0.68%,Information Technology Services,273395,2.95
DNN,Denison Mines Corp.,1820940720,2.02,-1.01%,Uranium,17070150,
SDGR,"Schrödinger, Inc.",1771867589,24.71,1.52%,Health Information Services,837058,
WWW,"Wolverine World Wide, Inc.",1806311520,22.35,-0.93%,Footwear & Accessories,222282,
TXG,"10x Genomics, Inc.",1974398096,14.76,-9.50%,Health Information Services,1617819,
GOGL,Golden Ocean Group Limited,1774248360,8.96,0.96%,Marine Shipping,489208,7.33
SUPV,Grupo Supervielle S.A.,1402983168,17.49,-1.52%,Banks - Regional,412176,24.63
PRG,"PROG Holdings, Inc.",1794674880,42.79,-0.96%,Rental & Leasing Services,61373,11.93
CENX,Century Aluminum Company,1751577350,19.15,-1.74%,Aluminum,340312,6.27
KN,Knowles Corporation,1791321426,20.13,-1.03%,Electronic Components,99178,39.88
STGW,Stagwell Inc.,1762151697,6.60,-0.23%,Advertising Agencies,42799,330.50
SID,Companhia Siderúrgica Nacional,1816743300,1.39,1.09%,Steel,502522,
MSGE,Madison Square Garden Entertainment Corp.,1717390843,35.90,1.33%,Leisure,59247,9.73
TDOC,"Teladoc Health, Inc.",1701009960,9.97,0.86%,Health Information Services,1933101,
EXPI,"eXp World Holdings, Inc.",1709022630,11.16,0.27%,Real Estate Services,212831,
OI,"O-I Glass, Inc.",1670187600,11.05,2.31%,Packaging & Containers,343435,
AG,First Majestic Silver Corp.,2722467240,5.60,-0.27%,Silver,8706027,
SONO,"Sonos, Inc.",1704520440,13.96,-1.27%,Consumer Electronics,585653,
SAND,Sandstorm Gold Ltd.,1694979240,5.74,0.44%,Gold,1988924,47.58
ARIS,"Aris Water Solutions, Inc.",885199790,28.99,0.47%,Utilities - Regulated Water,222692,36.06
LGF.B,Lions Gate Entertainment Corp.,1686490880,6.90,2.53%,Entertainment,129218,
PD,"PagerDuty, Inc.",1659755391,18.68,0.81%,Software - Application,129291,
ARHS,"Arhaus, Inc.",1666682278,11.98,1.01%,Home Improvement Retail,307842,21.18
PEB,Pebblebrook Hotel Trust,1676898930,13.87,-1.00%,REIT - Hotel & Motel,969697,
PCT,"PureCycle Technologies, Inc.",1696607650,9.59,-3.08%,Pollution & Treatment Controls,643439,
NN,NextNav Inc.,1643939237,12.72,-3.12%,Software - Infrastructure,374542,
DXPE,"DXP Enterprises, Inc.",1635565529,105.45,1.19%,Industrial Distribution,55903,26.79
MTTR,"Matterport, Inc.",1659680300,5.17,0.49%,Software - Application,3706960,
WKC,World Kinect Corporation,1642431700,28.38,0.35%,Oil & Gas Refining & Marketing,45000,12.40
ARQT,"Arcutis Biotherapeutics, Inc.",1601175600,14.08,2.66%,Biotechnology,815535,
MNKD,MannKind Corporation,1701550260,5.97,-3.32%,Biotechnology,969782,77.13
GNL,"Global Net Lease, Inc.",1638647465,7.14,-0.14%,REIT - Diversified,192355,
IAS,Integral Ad Science Holding Corp.,1638086900,10.11,0.35%,Advertising Agencies,200560,50.35
XPRO,Expro Group Holdings N.V.,1652567175,13.95,-0.57%,Oil & Gas Equipment & Services,224063,100.43
DVAX,Dynavax Technologies Corporation,1632671100,12.46,0.32%,Drug Manufacturers - Specialty & Generic,163611,95.54
ATEC,"Alphatec Holdings, Inc.",1622534760,11.53,1.32%,Medical Devices,324229,
KOS,Kosmos Energy Ltd.,1642194600,3.47,-0.43%,Oil & Gas Exploration & Production,2083485,7.91
UPBD,"Upbound Group, Inc.",1613638200,29.86,1.22%,Software - Application,53130,20.21
WTTR,"Select Water Solutions, Inc.",1413350190,13.64,-0.51%,Oil & Gas Equipment & Services,131535,23.24
OPRA,Opera Limited,1616532414,18.14,-0.71%,Internet Content & Information,85012,10.15
AAOI,"Applied Optoelectronics, Inc.",1595233170,32.49,-2.44%,Communication Equipment,556999,
DESP,"Despegar.com, Corp.",1603630025,19.18,-0.03%,Travel Services,395356,239.81
TROX,Tronox Holdings plc,1574512250,10.10,1.25%,Chemicals,364291,
CLDX,"Celldex Therapeutics, Inc.",1577665076,23.90,-1.42%,Biotechnology,118921,
VRNT,Verint Systems Inc.,1582654227,25.17,0.08%,Software - Infrastructure,165327,27.06
INFN,Infinera Corporation,1560525180,6.62,0.38%,Communication Equipment,126872,
VRE,"Veris Residential, Inc.",1452977896,15.43,-1.37%,REIT - Residential,63126,
VET,Vermilion Energy Inc.,1560306000,10.08,0.20%,Oil & Gas Exploration & Production,300690,
MAG,MAG Silver Corp.,1550638070,15.23,1.47%,Silver,20835,20.85
CDRE,"Cadre Holdings, Inc.",1599549120,38.27,-2.86%,Aerospace & Defense,87023,47.46
BCRX,"BioCryst Pharmaceuticals, Inc.",1578353460,7.49,-1.71%,Biotechnology,579688,
LEU,Centrus Energy Corp.,1423646532,94.53,4.10%,Uranium,17203,18.80
NAVI,Navient Corporation,1534217270,14.43,0.98%,Credit Services,134837,19.05
SPHR,Sphere Entertainment Co.,1485420373,43.07,3.79%,Entertainment,166441,
KSS,Kohl's Corporation,1501679820,13.79,3.13%,Department Stores,2259712,6.07
ZUO,"Zuora, Inc.",1454034770,9.97,,Software - Infrastructure,202564,
ARCO,Arcos Dorados Holdings Inc.,1544160215,7.27,-0.89%,Restaurants,419026,10.62
KRP,"Kimbell Royalty Partners, LP",3115909809,15.91,0.31%,Oil & Gas Exploration & Production,1757162,31.72
XHR,"Xenia Hotels & Resorts, Inc.",1508927940,14.92,0.10%,REIT - Hotel & Motel,74357,64.78
CSTM,Constellium SE,1519587000,10.36,0.05%,Aluminum,211655,5.71
MLKN,"MillerKnoll, Inc.",1500861180,22.21,0.86%,"Furnishings, Fixtures & Appliances",77306,24.20
BV,"BrightView Holdings, Inc.",1499100000,15.84,-0.13%,Specialty Business Services,59428,78.83
NEP,"NextEra Energy Partners, LP",1502159252,16.14,1.32%,Utilities - Renewable,965747,7.31
PLYA,Playa Hotels & Resorts N.V.,1507282000,12.42,0.12%,Resorts & Casinos,90631,25.31
SILV,SilverCrest Metals Inc.,1481446770,9.97,-1.73%,Other Precious Metals & Mining,426857,17.12
PRAX,"Praxis Precision Medicines, Inc.",1453841589,78.16,-1.80%,Biotechnology,89728,
MODG,Topgolf Callaway Brands Corp.,1540445120,8.18,-2.39%,Leisure,999791,
RLJ,RLJ Lodging Trust,1513149960,9.85,-0.20%,REIT - Hotel & Motel,180178,34.03
VECO,Veeco Instruments Inc.,1531308054,26.31,-2.45%,Semiconductor Equipment & Materials,435540,19.26
PBI,Pitney Bowes Inc.,1330051320,8.21,12.16%,Integrated Freight & Logistics,2091721,
PLAB,"Photronics, Inc.",1516249476,23.44,-2.09%,Semiconductor Equipment & Materials,123253,11.45
AMC,"AMC Entertainment Holdings, Inc.",1293186690,3.44,1.47%,Entertainment,3818525,
JBGS,JBG SMITH Properties,1298423786,15.08,-1.89%,REIT - Office,101911,
DNUT,"Krispy Kreme, Inc.",1479000000,8.70,-0.06%,Grocery Stores,600382,54.38
VRDN,"Viridian Therapeutics, Inc.",1453553045,18.65,1.63%,Biotechnology,291107,
TGI,"Triumph Group, Inc.",1469655700,19.01,-0.26%,Aerospace & Defense,94591,2.65
HOPE,"Hope Bancorp, Inc.",1458527120,12.13,0.17%,Banks - Regional,117026,14.40
CMRE,Costamare Inc.,1445973930,12.20,1.08%,Marine Shipping,65700,4.01
ERO,Ero Copper Corp.,1432826480,13.98,-0.92%,Copper,123781,77.17
DNOW,DNOW Inc.,1437388680,13.78,1.47%,Industrial Distribution,82366,7.30
GSBD,"Goldman Sachs BDC, Inc.",1447444980,12.42,0.65%,Asset Management,223209,17.63
ADEA,Adeia Inc.,1386764400,13.09,-3.75%,Software - Application,551071,35.38
DX,"Dynex Capital, Inc.",1004378827,12.66,0.40%,REIT - Mortgage,892345,9.81
INMD,InMode Ltd.,1444448037,17.16,0.53%,Medical Devices,248750,9.23
UTI,"Universal Technical Institute, Inc.",1442316715,26.70,0.64%,Education & Training Services,138090,35.37
LZ,"LegalZoom.com, Inc.",1430966160,8.33,0.60%,Specialty Business Services,274760,63.69
TILE,"Interface, Inc.",1429895790,24.67,0.47%,Building Products & Equipment,53611,17.20
VBTX,"Veritex Holdings, Inc.",1440009477,26.39,-0.15%,Banks - Regional,70995,16.94
RES,"RPC, Inc.",1440312400,6.73,0.43%,Oil & Gas Equipment & Services,453457,11.96
AMPL,"Amplitude, Inc.",1410880790,11.15,0.98%,Software - Application,104581,
VSAT,"Viasat, Inc.",1382803380,11.08,2.88%,Communication Equipment,2149799,
TPC,Tutor Perini Corporation,1424129168,27.10,-0.24%,Engineering & Construction,92808,
DYN,"Dyne Therapeutics, Inc.",1435918260,13.96,-1.06%,Biotechnology,676136,
QUBT,Quantum Computing Inc.,1456301781,11.00,-0.90%,Computer Hardware,13811296,
LEG,"Leggett & Platt, Incorporated",1422184050,10.53,-2.59%,"Furnishings, Fixtures & Appliances",263169,
UMH,"UMH Properties, Inc.",1409939426,17.92,-0.28%,REIT - Residential,95779,137.31
ACDC,ProFrac Holding Corp.,1391673954,8.81,1.38%,Oil & Gas Equipment & Services,185179,
LADR,Ladder Capital Corp,1407847140,11.03,-0.05%,REIT - Mortgage,105445,14.51
NVAX,"Novavax, Inc.",1414433550,8.78,-0.62%,Biotechnology,1151858,
WT,"WisdomTree, Inc.",1447890640,9.94,0.30%,Asset Management,212963,35.39
ATEN,"A10 Networks, Inc.",1404393067,19.02,-0.05%,Software - Infrastructure,128243,28.40
RDW,Redwire Corporation,1440610463,20.94,-3.28%,Aerospace & Defense,1225762,
UNIT,Uniti Group Inc.,1393896650,5.72,0.09%,REIT - Specialty,260578,22.84
NRIX,"Nurix Therapeutics, Inc.",1399016925,19.64,-0.20%,Biotechnology,165222,
ADNT,Adient plc,1424913572,16.57,-1.34%,Auto Parts,438259,83.95
GIII,"G-III Apparel Group, Ltd.",1380675582,31.53,0.21%,Apparel Manufacturing,90437,8.24
FSLY,"Fastly, Inc.",1359507000,9.78,0.93%,Software - Application,583110,
WGO,"Winnebago Industries, Inc.",1351971648,48.20,1.23%,Recreational Vehicles,116085,
AIV,Apartment Investment and Management Company,1265063895,8.93,-1.00%,REIT - Residential,138759,
FSM,Fortuna Mining Corp.,1356723230,4.42,2.08%,Gold,4289664,61.86
SPRY,"ARS Pharmaceuticals, Inc.",1316863525,13.96,3.03%,Biotechnology,313667,
LILA,Liberty Latin America Ltd.,1344041870,6.88,,Telecom Services,102884,
CLMT,"Calumet, Inc.",1373488990,15.74,-1.50%,Oil & Gas Exploration & Production,301124,
AHCO,AdaptHealth Corp.,1368424350,10.26,0.89%,Medical Devices,429766,
LILAK,Liberty Latin America Ltd.,1364728514,6.84,-0.09%,Telecom Services,254878,
LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima,6710077500,11.52,0.13%,Building Materials,102575,105.30
ATUS,"Altice USA, Inc.",1335052085,2.91,3.01%,Telecom Services,697968,
CBRL,"Cracker Barrel Old Country Store, Inc.",1342452352,60.03,-0.46%,Restaurants,183587,33.32
PL,Planet Labs PBC,1327570376,4.46,0.45%,Aerospace & Defense,3296217,
MDXG,"MiMedx Group, Inc.",1315166700,9.00,0.11%,Biotechnology,85343,14.93
COUR,"Coursera, Inc.",1311552000,8.31,0.35%,Education & Training Services,508214,
HLX,"Helix Energy Solutions Group, Inc.",1320262720,8.63,-0.75%,Oil & Gas Equipment & Services,283283,173.70
SCS,Steelcase Inc.,1308939483,11.53,-0.44%,"Furnishings, Fixtures & Appliances",130602,11.99
OXM,"Oxford Industries, Inc.",1316214830,83.25,-2.03%,Apparel Manufacturing,74795,84.48
RXST,"RxSight, Inc.",1286116595,32.36,1.41%,Medical Devices,153987,
FUBO,fuboTV Inc.,1227704900,3.85,6.23%,Broadcasting,20774686,
SABR,Sabre Corporation,1290681630,3.38,0.30%,Software - Infrastructure,1250069,
PZZA,"Papa John's International, Inc.",1233526026,39.69,5.01%,Restaurants,603683,13.12
GEL,"Genesis Energy, L.P.",1276882320,10.57,1.34%,Oil & Gas Midstream,109077,
EFXT,Enerflex Ltd.,1288827550,10.36,-0.29%,Oil & Gas Equipment & Services,58383,
AORT,"Artivion, Inc.",1280443346,30.81,0.08%,Medical Devices,110764,
EOSE,"Eos Energy Enterprises, Inc.",1272606080,5.93,1.46%,Electrical Equipment & Parts,4679753,
OCSL,Oaktree Specialty Lending Corporation,1282204227,15.64,0.29%,Asset Management,179683,21.65
MFIC,MidCap Financial Investment Corporation,1282914504,13.68,0.02%,Asset Management,114029,8.77
CGAU,Centerra Gold Inc.,1280708280,6.04,-0.33%,Gold,136548,12.63
BLBD,Blue Bird Corporation,1328473560,39.82,-3.28%,Farm & Heavy Construction Machinery,502722,13.03
IHS,IHS Holding Limited,1169089740,3.83,9.12%,Telecom Services,371980,
MRC,MRC Global Inc.,1250514810,14.97,2.01%,Oil & Gas Equipment & Services,121784,16.86
IMAX,IMAX Corporation,1243045947,24.18,2.92%,Entertainment,185596,53.59
OCUL,"Ocular Therapeutix, Inc.",1250032367,8.09,1.25%,Biotechnology,189701,
ALEX,"Alexander & Baldwin, Inc.",1258001828,17.39,-0.06%,REIT - Retail,36226,27.94
VTLE,"Vital Energy, Inc.",1321234927,34.74,0.31%,Oil & Gas Exploration & Production,177932,2.31
COMM,"CommScope Holding Company, Inc.",1265050940,5.84,-0.34%,Communication Equipment,1322950,
ARVN,"Arvinas, Inc.",1251952682,18.30,0.44%,Biotechnology,369594,
KW,"Kennedy-Wilson Holdings, Inc.",1258693920,9.13,-0.38%,Real Estate Services,138833,
SYRE,"Spyre Therapeutics, Inc.",1280969284,21.29,-2.43%,Biotechnology,136018,
APOG,"Apogee Enterprises, Inc.",1245416382,56.63,-0.18%,Building Products & Equipment,48668,12.66
QNST,"QuinStreet, Inc.",1232159700,21.99,-0.59%,Advertising Agencies,64680,
HTZ,"Hertz Global Holdings, Inc.",1232892646,4.03,0.12%,Rental & Leasing Services,1605439,
NMFC,New Mountain Finance Corporation,1231658420,11.44,0.13%,Asset Management,88232,10.88
NVEE,"NV5 Global, Inc.",1226552535,18.91,-0.49%,Engineering & Construction,72129,33.51
TWO,Two Harbors Investment Corp.,1228252500,11.86,0.08%,REIT - Mortgage,372033,
CDNA,"CareDx, Inc",1243770141,22.92,-1.16%,Diagnostics & Research,144528,
ROOT,"Root, Inc.",1210868920,81.40,0.26%,Insurance - Property & Casualty,84919,
ARI,"Apollo Commercial Real Estate Finance, Inc.",1226303125,8.85,-0.56%,REIT - Mortgage,142160,
OLO,Olo Inc.,1214447442,7.37,-0.74%,Software - Application,280599,
ARLO,"Arlo Technologies, Inc.",1187034030,12.00,1.44%,Building Products & Equipment,240673,
AOSL,Alpha and Omega Semiconductor Limited,1222486988,41.41,-1.66%,Semiconductors,88595,
TBLA,Taboola.com Ltd.,1198582301,3.58,-1.52%,Internet Content & Information,236821,
ADPT,Adaptive Biotechnologies Corporation,1173990945,8.12,1.37%,Biotechnology,561267,
FOXF,Fox Factory Holding Corp.,1202982924,28.74,-0.42%,Auto Parts,156677,111.00
MD,"Pediatrix Medical Group, Inc.",1208338635,14.15,0.57%,Medical Care Facilities,137983,
XRX,Xerox Holdings Corporation,1174712430,9.53,1.55%,Information Technology Services,475005,
EVRI,Everi Holdings Inc.,1173816226,13.62,0.07%,Gambling,54241,85.00
AMRC,"Ameresco, Inc.",1166326760,22.38,-2.91%,Engineering & Construction,78185,22.47
DAVE,Dave Inc.,1213825600,91.54,-3.79%,Software - Application,154762,30.40
DK,"Delek US Holdings, Inc.",1158999968,18.45,0.60%,Oil & Gas Refining & Marketing,203843,
VTEX,VTEX,1164904251,6.27,-1.10%,Software - Application,63803,135.98
RC,Ready Capital Corporation,1164549210,6.85,,REIT - Mortgage,341682,
ACMR,"ACM Research, Inc.",1155508909,18.52,-0.91%,Semiconductor Equipment & Materials,177500,14.02
AMSC,American Superconductor Corporation,1139013884,29.32,1.57%,Specialty Industrial Machinery,273137,
CIM,Chimera Investment Corporation,1154899284,14.30,0.14%,REIT - Mortgage,87695,4.29
PRO,"PROS Holdings, Inc.",1132032580,24.29,1.50%,Software - Application,107124,
UP,Wheels Up Experience Inc.,1144560920,1.65,0.30%,Airports & Air Services,201236,0.18
COHU,"Cohu, Inc.",1143434061,24.62,0.37%,Semiconductor Equipment & Materials,100440,
UUUU,Energy Fuels Inc.,1131450265,5.81,-0.34%,Uranium,115904,
WEAV,"Weave Communications, Inc.",1152694224,15.72,-0.79%,Health Information Services,119524,
EFC,Ellington Financial Inc.,1131458016,12.49,0.08%,REIT - Mortgage,211328,9.60
SBH,"Sally Beauty Holdings, Inc.",1138463920,11.16,0.41%,Specialty Retail,238731,7.77
BMBL,Bumble Inc.,804874080,7.40,0.89%,Internet Content & Information,698209,
EVH,"Evolent Health, Inc.",1165640000,9.90,-1.00%,Health Information Services,519689,
CARS,Cars.com Inc.,1140059073,17.57,2.39%,Auto & Truck Dealerships,86337,29.85
INOD,Innodata Inc.,1129851688,38.73,-2.69%,Information Technology Services,274615,63.87
AUPH,Aurinia Pharmaceuticals Inc.,1106773670,7.84,1.42%,Biotechnology,341087,
PENG,"Penguin Solutions, Inc.",1121238432,21.03,-1.47%,Information Technology Services,212376,
RCKT,"Rocket Pharmaceuticals, Inc.",1114411760,10.73,2.39%,Biotechnology,331410,
NTLA,"Intellia Therapeutics, Inc.",1121357490,10.98,-0.27%,Biotechnology,1460021,
MYGN,"Myriad Genetics, Inc.",1117912256,12.23,-0.45%,Diagnostics & Research,294749,
FVRR,Fiverr International Ltd.,1131269160,31.50,-1.76%,Internet Content & Information,351297,123.31
SA,Seabridge Gold Inc.,1110807192,12.06,-1.23%,Gold,165614,
NX,Quanex Building Products Corporation,1107334602,23.56,0.55%,Building Products & Equipment,73485,26.03
GOGO,Gogo Inc.,1052770230,8.44,0.30%,Telecom Services,189716,19.56
PLAY,"Dave & Buster's Entertainment, Inc.",1029182517,28.52,6.68%,Entertainment,656610,13.30
PMT,PennyMac Mortgage Investment Trust,1094448600,12.64,0.31%,REIT - Mortgage,156592,9.33
PUMP,ProPetro Holding Corp.,1110614700,10.65,-1.30%,Oil & Gas Equipment & Services,352368,
EMBC,Embecta Corp.,1086460166,18.83,0.48%,Medical Instruments & Supplies,45844,13.95
PGRE,"Paramount Group, Inc.",1009288160,4.60,-0.86%,REIT - Office,395186,
PDM,"Piedmont Office Realty Trust, Inc.",1086240000,8.76,,REIT - Office,146221,
UDMY,"Udemy, Inc.",1044654096,7.40,-0.54%,Education & Training Services,416968,
REAL,"The RealReal, Inc.",1033289220,9.79,3.93%,Luxury Goods,779265,
GETY,"Getty Images Holdings, Inc.",1109006300,2.61,-3.16%,Internet Content & Information,851950,20.69
NG,NovaGold Resources Inc.,1070647857,3.30,2.48%,Gold,681045,
CSWC,Capital Southwest Corporation,1069612681,22.38,-0.27%,Asset Management,97517,13.68
BBAI,"BigBear.ai Holdings, Inc.",1061155394,4.22,-4.96%,Information Technology Services,14414061,
TLRY,"Tilray Brands, Inc.",1059550150,1.12,-0.46%,Drug Manufacturers - Specialty & Generic,17955076,
BLMN,"Bloomin' Brands, Inc.",1025753079,12.43,2.81%,Restaurants,395270,
WOOF,"Petco Health and Wellness Company, Inc.",1039228632,3.82,1.19%,Specialty Retail,879005,
OPFI,OppFi Inc.,1044916395,12.15,2.62%,Credit Services,603479,100.50
REPL,"Replimune Group, Inc.",980933310,13.58,4.30%,Biotechnology,333923,
LPG,Dorian LPG Ltd.,1022599505,24.32,1.80%,Oil & Gas Midstream,239089,4.06
SSTK,"Shutterstock, Inc.",1061954504,29.84,-2.15%,Internet Content & Information,180881,29.60
VMEO,"Vimeo, Inc.",1036568169,6.26,0.16%,Software - Application,312620,31.25
ARR,"ARMOUR Residential REIT, Inc.",1039929595,18.61,-0.19%,REIT - Mortgage,538385,6.57
TH,Target Hospitality Corp.,1006232004,10.45,2.75%,Specialty Business Services,189136,11.69
CECO,CECO Environmental Corp.,1033979240,29.55,-0.03%,Pollution & Treatment Controls,42339,89.58
OLPX,"Olaplex Holdings, Inc.",1001013428,1.55,2.65%,Specialty Retail,325833,25.17
FIGS,"FIGS, Inc.",998236860,6.05,-2.18%,Apparel Manufacturing,348613,103.00
MFA,"MFA Financial, Inc.",1026954980,10.06,-0.05%,REIT - Mortgage,162023,6.17
NRDS,"NerdWallet, Inc.",1040628774,13.97,-1.41%,Internet Content & Information,38050,
ZYME,Zymeworks Inc.,1010432925,14.86,1.26%,Biotechnology,105462,
VLRS,"Controladora Vuela Compañía de Aviación, S.A.B. de C.V.",1018647151,8.98,0.90%,Airlines,186058,126.57
FBRT,"Franklin BSP Realty Trust, Inc.",1017285370,12.38,-0.40%,REIT - Mortgage,58379,15.16
ARRY,"Array Technologies, Inc.",991428075,6.67,4.39%,Solar,1405335,
HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,993423629,3.07,-2.85%,Internet Retail,147681,
